Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Brush application (product.metafields.shopify.brush-application),Chair features (product.metafields.shopify.chair-features),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Handle material (product.metafields.shopify.handle-material),Paint type (product.metafields.shopify.paint-type),Seat type (product.metafields.shopify.seat-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
Mahoney Chaise Chair,,,,,,,,,Medium,,,,,,,,,3456,shopify,deny,manual,43.5,50,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_5.png?v=1744783662,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Chair,,,,,,,,,Large,,,,,,,,,2563,shopify,deny,manual,43.5,50,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_14.png?v=1744783662,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Chair,Karinne Oversized Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,4353,shopify,deny,manual,55.68,64,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_16.png?v=1744783660,13,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC914,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Karinne Oversized Chair,,,,,,,,,Medium,,,,,,,,,4534,shopify,deny,manual,55.68,64,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_15.png?v=1744783658,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Chair,,,,,,,,,Large,,,,,,,,,4571,shopify,deny,manual,55.68,64,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_6.png?v=1744783657,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Chair,,,,,,,,,,,,,,,,,,12375,shopify,deny,manual,55.68,64,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_1.png?v=1744781251,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Chair,Adelaide Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,7001.25,shopify,deny,manual,60.9,70,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_1.png?v=1744783018,17,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC915,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Adelaide Chair,,,,,,,,,Medium,,,,,,,,,7368,shopify,deny,manual,63.51,73,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_10.png?v=1744782978,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Adelaide Chair,,,,,,,,,Large,,,,,,,,,7734.75,shopify,deny,manual,66.12,76,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_100.png?v=1744782983,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Chair,Flexsteel Adrian Leather Power Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,8101.5,shopify,deny,manual,68.73,79,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_101.png?v=1744783018,20,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC916,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Flexsteel Adrian Leather Power Chair,,,,,,,,,Medium,,,,,,,,,8468.25,shopify,deny,manual,71.34,82,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_102.png?v=1744783009,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Flexsteel Adrian Leather Power Chair,,,,,,,,,Large,,,,,,,,,8835,shopify,deny,manual,73.95,85,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_103.png?v=1744782983,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Denver Power Chair,Denver Power Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,9201.75,shopify,deny,manual,76.56,88,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_104.png?v=1744782957,23,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC917,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Denver Power Chair,,,,,,,,,Medium,,,,,,,,,9568.5,shopify,deny,manual,79.17,91,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_105.png?v=1744783019,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Chair,Venture Manual Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,10302,shopify,deny,manual,81.78,94,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_106.png?v=1744782975,25,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC918,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Venture Manual Chair,,,,,,,,,Medium,,,,,,,,,10668.75,shopify,deny,manual,84.39,97,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_107.png?v=1744783012,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Venture Manual Chair,,,,,,,,,Large,,,,,,,,,11035.5,shopify,deny,manual,87,100,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_108.png?v=1744783007,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Chair,Lawrence Power Reclining Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,11402.25,shopify,deny,manual,89.61,103,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_109.png?v=1744783014,28,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC919,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lawrence Power Reclining Chair,,,,,,,,,Medium,,,,,,,,,11769,shopify,deny,manual,92.22,106,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_11.png?v=1744782937,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Chair,,,,,,,,,Large,,,,,,,,,12135.75,shopify,deny,manual,94.83,109,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_110.png?v=1744783000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lawrence Power Reclining Chair,,,,,,,,,,,,,,,,,,12502.5,shopify,deny,manual,97.44,112,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_111.png?v=1744782975,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Chair,Sarabella Queen Memory Foam Sleeper Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,12869.25,shopify,deny,manual,100.05,115,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_112.png?v=1744783018,32,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC920,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Sarabella Queen Memory Foam Sleeper Chair,,,,,,,,,Medium,,,,,,,,,13236,shopify,deny,manual,102.66,118,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_113.png?v=1744783014,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Sarabella Queen Memory Foam Sleeper Chair,,,,,,,,,Large,,,,,,,,,13602.75,shopify,deny,manual,105.27,121,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_114.png?v=1744783018,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Chair,Tulen Reclining Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,13969.5,shopify,deny,manual,107.88,124,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_115.png?v=1744783019,35,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC921,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Tulen Reclining Chair,,,,,,,,,Medium,,,,,,,,,14336.25,shopify,deny,manual,110.49,127,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_116.png?v=1744782986,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Tulen Reclining Chair,,,,,,,,,Large,,,,,,,,,14703,shopify,deny,manual,113.1,130,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_117.png?v=1744783019,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Solana Power Reclining Chair,Solana Power Reclining Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,15069.75,shopify,deny,manual,115.71,133,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_118.png?v=1744783011,38,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC922,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mitchiner Reclining Chair,Mitchiner Reclining Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,15436.5,shopify,deny,manual,118.32,136,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_119.png?v=1744783000,39,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Dresser,Darcy Dresser,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,15844.8249,shopify,deny,manual,120.93,139,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_12.png?v=1744782959,40,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Dresser,,,,,,,,,Medium,,,,,,,,,16224.93826,shopify,deny,manual,123.54,142,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_120.png?v=1744783012,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Darcy Dresser,,,,,,,,,Large,,,,,,,,,16605.05162,shopify,deny,manual,126.15,145,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_121.png?v=1744783006,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Dresser,Vail Fur Swivel Dresser,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Signature Design by Ashley,Uncategorized,,,TRUE,Size,Small,,,,,,,,,16985.16498,shopify,deny,manual,128.76,148,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_122.png?v=1744783012,43,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC911,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Vail Fur Swivel Dresser,,,,,,,,,Medium,,,,,,,,,17365.27834,shopify,deny,manual,131.37,151,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_123.png?v=1744783019,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Dresser,,,,,,,,,Large,,,,,,,,,17745.3917,shopify,deny,manual,133.98,154,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_124.png?v=1744782966,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Dresser,Lindyn Oversized Swivel Accent Dresser,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Signature Design by Ashley,Uncategorized,,,TRUE,Size,Small,,,,,,,,,18125.50506,shopify,deny,manual,136.59,157,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_125.png?v=1744783009,46,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC912,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lindyn Oversized Swivel Accent Dresser,,,,,,,,,Medium,,,,,,,,,18505.61842,shopify,deny,manual,139.2,160,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_126.png?v=1744783014,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Dresser,,,,,,,,,Large,,,,,,,,,18885.73178,shopify,deny,manual,141.81,163,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_127.png?v=1744783018,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Dresser,Mahoney Chaise Dresser,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Signature Design by Ashley,Uncategorized,,,TRUE,Size,Small,,,,,,,,,19265.84514,shopify,deny,manual,144.42,166,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_128.png?v=1744783019,49,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC913,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Mahoney Chaise Dresser,,,,,,,,,Medium,,,,,,,,,19645.9585,shopify,deny,manual,147.03,169,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_129.png?v=1744783019,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Dresser,,,,,,,,,Large,,,,,,,,,20026.07186,shopify,deny,manual,149.64,172,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_13.png?v=1744782960,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Karinne Oversized Dresser,Karinne Oversized Dresser,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Signature Design by Ashley,Uncategorized,,,TRUE,Size,Small,,,,,,,,,20406.18522,shopify,deny,manual,152.25,175,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_130.png?v=1744783018,52,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC914,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Karinne Oversized Dresser,,,,,,,,,Medium,,,,,,,,,20786.29858,shopify,deny,manual,154.86,178,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/bedroom-funiture_131.png?v=1744783018,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
